Domeniu,IP,Organizație,Companie identificată
match.prod.bidr.io,54.76.79.164,"AS16509 Amazon.com, Inc.",amazon
d.adroll.com,54.170.178.193,"AS16509 Amazon.com, Inc.",amazon
ad.doubleclick.net,142.250.187.134,AS15169 Google LLC,google
c.amazon-adsystem.com,3.160.250.121,"AS16509 Amazon.com, Inc.",amazon
sync-tm.everesttech.net,151.101.194.49,"AS54113 Fastly, Inc.",necunoscut
www.googleadservices.com,172.217.17.130,AS15169 Google LLC,google
dt.adsafeprotected.com,52.25.184.0,"AS16509 Amazon.com, Inc.",amazon
mid.rkdms.com,44.212.208.10,"AS14618 Amazon.com, Inc.",amazon
cdn.speedcurve.com,151.101.2.217,"AS54113 Fastly, Inc.",necunoscut
prebid-server.rubiconproject.com,69.173.144.137,"AS26667 Magnite, Inc.",rubicon
pubads.g.doubleclick.net,142.250.187.98,AS15169 Google LLC,google
hbopenbid.pubmatic.com,185.64.189.112,"AS62713 PubMatic, Inc.",pubmatic
fundingchoicesmessages.google.com,216.58.212.46,AS15169 Google LLC,google
x.bidswitch.net,35.214.136.108,AS19527 Google LLC,google
sync.graph.bluecava.com,35.241.19.70,AS396982 Google LLC,google
securepubads.g.doubleclick.net,172.217.20.66,AS15169 Google LLC,google
eb2.3lift.com,76.223.111.18,"AS16509 Amazon.com, Inc.",amazon
dclk-match.dotomi.com,89.207.16.204,AS41041 Conversant LLC,necunoscut
sync.teads.tv,151.101.66.132,"AS54113 Fastly, Inc.",teads
c1.adform.net,37.157.5.49,AS198622 Adform A/S,adform
siteintercept.qualtrics.com,nerezolvat,nerezolvat,necunoscut
bid.g.doubleclick.net,172.217.218.156,AS15169 Google LLC,google
sync.smartadserver.com,81.17.55.106,AS60781 LeaseWeb Netherlands B.V.,necunoscut
ups.analytics.yahoo.com,87.248.119.252,AS203220 Yahoo-UK Limited,yahoo
b1sync.zemanta.com,64.202.112.31,AS23352 DEFT.COM,zemanta
aa.agkn.com,3.160.246.33,"AS16509 Amazon.com, Inc.",amazon
gum.criteo.com,178.250.7.13,AS44788 Criteo Technology SAS,necunoscut
an.yandex.ru,77.88.21.90,AS13238 YANDEX LLC,necunoscut
bh.contextweb.com,208.93.169.131,"AS46244 WebMD, LLC",necunoscut
r.casalemedia.com,104.18.26.193,"AS13335 Cloudflare, Inc.",casalemedia
ad-delivery.net,172.67.11.120,"AS13335 Cloudflare, Inc.",necunoscut
googleads.g.doubleclick.net,142.250.184.130,AS15169 Google LLC,google
rcp.c.appier.net,172.104.64.149,AS63949 Akamai Connected Cloud,necunoscut
pixel-sync.sitescout.com,34.36.216.150,AS396982 Google LLC,google
ade.googlesyndication.com,216.58.213.98,AS15169 Google LLC,google
ads.stickyadstv.com,104.76.220.75,AS20940 Akamai International B.V.,necunoscut
dpm.demdex.net,54.74.130.18,"AS16509 Amazon.com, Inc.",amazon
pixel.mathtag.com,74.121.140.211,"AS30419 PaeDae, Inc.",necunoscut
sb.scorecardresearch.com,3.160.246.129,"AS16509 Amazon.com, Inc.",amazon
p.typekit.net,92.123.102.24,AS20940 Akamai International B.V.,necunoscut
ag.innovid.com,18.171.103.9,"AS16509 Amazon.com, Inc.",amazon
rtb.openx.net,35.186.253.211,AS396982 Google LLC,google
idsync.rlcdn.com,35.244.174.68,AS396982 Google LLC,google
fw.adsafeprotected.com,52.17.219.220,"AS16509 Amazon.com, Inc.",amazon
cds.connatix.com,104.18.41.104,"AS13335 Cloudflare, Inc.",necunoscut
tlx.3lift.com,3.78.168.176,"AS16509 Amazon.com, Inc.",amazon
match.adsby.bidtheatre.com,64.227.64.62,"AS14061 DigitalOcean, LLC",necunoscut
